timestamp,ip,method,url,status,user_agent,attack_type,prediction,risk_level
04/Jul/2026:18:41:35 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=qwerty&Login=Login,200,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:35 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=dvwa123&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:34 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=P@ssw0rd&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:34 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=123456&Login=Login,200,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:33 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=P@ssw0rd&Login=Login,302,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:33 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=welcome1&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:32 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=password&Login=Login,200,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:31 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=welcome1&Login=Login,302,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:31 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=123456&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:30 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=qwerty&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:29 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=toor&Login=Login,200,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:29 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=password&Login=Login,302,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:28 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=dvwa123&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:27 +0530,192.168.1.151,POST,/dvwa/login.php?username=root&password=qwerty&Login=Login,401,Hydra/9.4,Brute Force,Malicious,High
04/Jul/2026:18:41:27 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=letmein&Login=Login,401,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:26 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=P@ssw0rd&Login=Login,302,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:25 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=dvwa123&Login=Login,200,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:25 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=P@ssw0rd&Login=Login,401,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:25 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=admin123&Login=Login,401,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:24 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=P@ssw0rd&Login=Login,302,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:24 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=iloveyou&Login=Login,200,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:23 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=iloveyou&Login=Login,401,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:23 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=toor&Login=Login,200,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
04/Jul/2026:18:41:22 +0530,192.168.1.151,POST,/dvwa/login.php?username=admin&password=password&Login=Login,200,sqlmap/1.7.2#stable (http://sqlmap.org),Brute Force,Malicious,High
